epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.652,0.73111,2.85801,1.34132,0.55229,0.4621,0.58352,0.48502,0.72688,7.65289,1.44023,0.000366172,0.000366172,0.000366172
2,647.641,0.68602,1.66187,1.29989,0.71749,0.45792,0.55617,0.30411,1.34953,9.17329,1.91272,0.000729214,0.000729214,0.000729214
3,957.898,0.69313,1.37687,1.2989,0.5932,0.64864,0.66941,0.40603,1.50056,14.7158,2.55817,0.00108492,0.00108492,0.00108492
4,1271.74,0.70201,1.22854,1.29149,0.65236,0.5,0.48377,0.27175,1.66826,8.65035,3.00359,0.001078,0.001078,0.001078
5,1580.28,0.68,1.07832,1.2785,0.6147,0.85067,0.85307,0.54659,0.88533,4.40486,1.4974,0.001067,0.001067,0.001067
6,1880.24,0.66628,0.98318,1.26276,0.74091,0.89228,0.92891,0.69668,0.86262,2.67383,1.43936,0.00105601,0.00105601,0.00105601
7,2186.93,0.63942,0.89343,1.24472,0.68471,0.85094,0.89677,0.60607,1.40497,12.565,2.31316,0.00104501,0.00104501,0.00104501
8,2500.75,0.63678,0.80648,1.25012,0.69745,0.76093,0.8859,0.71068,0.9637,3.71531,1.5985,0.00103401,0.00103401,0.00103401
9,2810.91,0.62772,0.80145,1.23899,0.79097,0.77551,0.84464,0.65248,0.9652,5.9212,1.52926,0.00102301,0.00102301,0.00102301
10,3106.59,0.60616,0.75005,1.20976,0.68026,0.84191,0.86774,0.62251,1.06819,2.13776,1.81529,0.00101201,0.00101201,0.00101201
11,3398.31,0.58531,0.70812,1.20034,0.90847,0.93735,0.93419,0.73474,0.80853,1.736,1.35862,0.00100101,0.00100101,0.00100101
12,3690.85,0.58392,0.70442,1.19883,0.73043,0.92978,0.93677,0.7805,0.85482,2.71461,1.39924,0.000990012,0.000990012,0.000990012
13,3982.95,0.58875,0.67914,1.19708,0.88928,0.90649,0.92443,0.77883,0.78336,2.02038,1.33774,0.000979013,0.000979013,0.000979013
14,4290.68,0.57742,0.62881,1.18743,0.72039,0.85668,0.90163,0.65937,0.97707,1.89674,1.43044,0.000968014,0.000968014,0.000968014
15,4630.59,0.59102,0.63118,1.20586,0.89838,0.96703,0.95914,0.79551,0.8184,0.98516,1.29383,0.000957015,0.000957015,0.000957015
16,4970.86,0.568,0.61294,1.18513,0.80417,0.77783,0.86194,0.69146,0.85333,2.39849,1.35597,0.000946016,0.000946016,0.000946016
17,5311.07,0.56694,0.58876,1.17866,0.94086,0.95972,0.95935,0.79295,0.85737,1.35334,1.37167,0.000935018,0.000935018,0.000935018
18,5647.59,0.56965,0.571,1.18881,0.91949,0.94224,0.94737,0.80157,0.74161,1.11934,1.31,0.000924019,0.000924019,0.000924019
19,5984.73,0.56874,0.59216,1.18027,0.92052,0.96571,0.9581,0.81783,0.70872,1.15047,1.28852,0.00091302,0.00091302,0.00091302
20,6321.34,0.54691,0.5909,1.17495,0.81665,0.82966,0.91631,0.6752,1.03517,3.19052,1.66246,0.000902021,0.000902021,0.000902021
21,6657.09,0.55394,0.55645,1.17528,0.90538,0.90272,0.95869,0.8026,0.75727,1.23722,1.30469,0.000891022,0.000891022,0.000891022
22,6993.22,0.53863,0.5287,1.16392,0.93811,0.96405,0.95647,0.80494,0.79023,1.20089,1.31194,0.000880023,0.000880023,0.000880023
23,7334.85,0.54294,0.52901,1.16351,0.9075,0.93363,0.93014,0.7905,0.72984,1.79413,1.26203,0.000869024,0.000869024,0.000869024
24,7670.21,0.5478,0.53238,1.16508,0.86069,0.89911,0.92198,0.79496,0.69549,1.0064,1.217,0.000858025,0.000858025,0.000858025
25,8009.79,0.53339,0.54158,1.15984,0.88718,0.9539,0.94889,0.81767,0.69003,1.05307,1.24161,0.000847026,0.000847026,0.000847026
26,8349.54,0.53379,0.51725,1.15288,0.92465,0.95694,0.95358,0.81108,0.7353,0.96602,1.24098,0.000836027,0.000836027,0.000836027
27,8688.6,0.52526,0.50146,1.15276,0.91212,0.92767,0.95831,0.73135,1.23733,1.64445,1.7351,0.000825029,0.000825029,0.000825029
28,9027.33,0.52283,0.49969,1.1548,0.9353,0.96559,0.95802,0.8019,0.7911,1.05585,1.33873,0.00081403,0.00081403,0.00081403
29,9366.5,0.53588,0.51241,1.16041,0.93546,0.95034,0.94627,0.81846,0.71412,1.19468,1.25701,0.000803031,0.000803031,0.000803031
30,9705.78,0.52055,0.49873,1.15009,0.94389,0.96244,0.94379,0.82028,0.71965,1.01746,1.21962,0.000792032,0.000792032,0.000792032
31,10043.2,0.52841,0.48903,1.16303,0.92809,0.95885,0.95442,0.81066,0.82657,1.23601,1.29782,0.000781033,0.000781033,0.000781033
32,10381.5,0.54466,0.50054,1.16703,0.93712,0.94681,0.95152,0.839,0.67036,1.15049,1.19001,0.000770034,0.000770034,0.000770034
33,10716.2,0.51512,0.50263,1.15028,0.95146,0.96344,0.95592,0.8412,0.74001,0.87249,1.20839,0.000759035,0.000759035,0.000759035
34,11055.7,0.52147,0.48815,1.1519,0.93665,0.94705,0.95637,0.83591,0.70578,1.21082,1.24152,0.000748036,0.000748036,0.000748036
35,11378.2,0.49764,0.4612,1.13396,0.92716,0.94486,0.9524,0.8206,0.763,1.44591,1.29308,0.000737037,0.000737037,0.000737037
36,11716.9,0.51682,0.4697,1.14898,0.94369,0.95874,0.95004,0.83413,0.69372,1.00697,1.18622,0.000726038,0.000726038,0.000726038
37,12059.8,0.5033,0.47005,1.14156,0.91271,0.95576,0.97354,0.85985,0.74656,1.19803,1.20607,0.00071504,0.00071504,0.00071504
38,12412.9,0.50342,0.44473,1.14718,0.93122,0.96571,0.96038,0.83925,0.71737,1.12737,1.22171,0.000704041,0.000704041,0.000704041
39,12753.8,0.50118,0.43913,1.1296,0.94105,0.96395,0.9635,0.856,0.69578,0.96699,1.19869,0.000693042,0.000693042,0.000693042
40,13073.4,0.50544,0.42674,1.14335,0.94065,0.96535,0.95459,0.83935,0.65849,1.17314,1.16296,0.000682043,0.000682043,0.000682043
41,13406,0.4848,0.43664,1.12529,0.93062,0.94962,0.96939,0.8481,0.71585,0.89437,1.21631,0.000671044,0.000671044,0.000671044
42,13736.8,0.5043,0.44242,1.13788,0.86077,0.95,0.96971,0.86126,0.70955,0.58088,1.19281,0.000660045,0.000660045,0.000660045
43,14074.3,0.48673,0.42159,1.12894,0.92954,0.9595,0.97147,0.83323,0.79271,0.88643,1.24624,0.000649046,0.000649046,0.000649046
44,14399,0.49282,0.4347,1.12737,0.92943,0.95532,0.92633,0.80516,0.76749,1.57549,1.23101,0.000638047,0.000638047,0.000638047
45,14731.5,0.48902,0.41428,1.13241,0.93277,0.95548,0.95506,0.84274,0.64109,1.08929,1.13991,0.000627048,0.000627048,0.000627048
46,15061.2,0.48988,0.41581,1.12638,0.94893,0.95182,0.94631,0.81767,0.62761,1.2413,1.15627,0.000616049,0.000616049,0.000616049
47,15387.2,0.49814,0.41422,1.12701,0.94702,0.9659,0.94648,0.82841,0.6835,1.36935,1.15612,0.000605051,0.000605051,0.000605051
48,15702,0.49786,0.41728,1.136,0.86382,0.95838,0.97113,0.83433,0.76916,0.90616,1.25303,0.000594052,0.000594052,0.000594052
49,15981,0.48803,0.43631,1.13251,0.88579,0.93739,0.94913,0.79838,0.66709,0.95366,1.20837,0.000583053,0.000583053,0.000583053
50,16244.1,0.48172,0.42573,1.1217,0.9292,0.95905,0.96749,0.86441,0.71641,0.91041,1.21124,0.000572054,0.000572054,0.000572054
51,16548.1,0.48919,0.42883,1.12142,0.94787,0.96571,0.97435,0.85733,0.69558,0.82411,1.2018,0.000561055,0.000561055,0.000561055
